id,area,sex,age,antiquity,salary,state,chapter,seniority
005428920349380a73fff626ecfac47c,CUSTOMER SUCCESS,FEMENINO,27.0,9.0,4000000,active,EXPERIENCIA_USUARIO,ADVANCED
005c436c2cd0d824eac8fc7047198308,CUSTOMER SUCCESS,FEMENINO,43.0,57.0,33000000,active,HEAD,MASTER
006701a9d6145ecc61ddc3092eb9a004,CUSTOMER SUCCESS,MASCULINO,24.0,0.0,2050000,retired,BACKEND,TRAINEE
00b318b70e0d319f307952f5f7eca2bf,CUSTOMER SUCCESS,MASCULINO,25.0,21.0,5500000,active,BACKEND,ADVANCED
00cea163e55ecbadfbf41a8217d46140,CUSTOMER SUCCESS,FEMENINO,31.0,93.0,3406000,active,CALIDAD DE SOFTWARE,ADVANCED
00fc8c7fcbd77949691f955e6c0b24ab,CUSTOMER SUCCESS,FEMENINO,36.0,35.0,8500000,active,LIDERAZGO,SENIOR
01118c8e12111f7e04951b8c8e98417c,CUSTOMER SUCCESS,FEMENINO,44.0,32.0,3006000,active,CALIDAD DE SOFTWARE,ADVANCED
0132dbed1cf88950805cf98b986b0a07,CUSTOMER SUCCESS,MASCULINO,23.0,0.0,3000000,retired,CIENCIA DE DATOS,JUNIOR
0135cf2b41f70638a7219ebd5c3235e7,TALENT POOL,MASCULINO,22.0,5.0,2320000,active,BACKEND,TRAINEE
01b59db6646f309dcefc01c719a5553b,CUSTOMER SUCCESS,MASCULINO,28.0,10.0,3006000,active,DEVSECOPS,JUNIOR
020bcfe551df15ce9f8c6a63e8970d85,TALENT POOL,FEMENINO,29.95767195767196,0.0,6200000,active,BACKEND,SENIOR
0255b1251095a75bdd2c3ca9fdb3b093,TALENT POOL,MASCULINO,19.0,5.0,1160000,active,FRONTEND,TRAINEE
029ace297064d06fbeb450fdeab2b839,CUSTOMER SUCCESS,FEMENINO,37.0,6.0,5004000,active,INTEGRACION,ADVANCED
02cd7ac1a600c239ab7b2ac6c6bbcd00,CUSTOMER SUCCESS,MASCULINO,30.0,16.0,425,active,BACKEND,ADVANCED
02cdaf65c154c46e4f3fa05b0f95d160,CUSTOMER SUCCESS,MASCULINO,28.0,11.0,5500000,active,BACKEND,ADVANCED
030e8972353d1a1374d7b64ebdafe3cf,CUSTOMER SUCCESS,FEMENINO,24.0,57.0,3006000,active,MOVIL,JUNIOR
030fb8d7a29649760268c439e3a7208b,CUSTOMER SUCCESS,MASCULINO,45.0,24.0,16200000,active,LIDERAZGO,MASTER
032c7108aa4ac6d23013574984d6fea2,CUSTOMER SUCCESS,MASCULINO,37.0,18.0,7500000,active,EXPERIENCIA_USUARIO,MASTER
0357fd406ea09d9aefa8ace67b832bc6,CUSTOMER SUCCESS,MASCULINO,48.0,15.0,15080000,active,ARQUITECTURA,ADVANCED
03acf091ca7e502cc601e12edd54d4ca,CUSTOMER SUCCESS,FEMENINO,34.0,23.0,8500000,active,LIDERAZGO,ADVANCED
048286b6abee94aa47391e3c0e88a1f2,CUSTOMER SUCCESS,MASCULINO,35.0,5.0,8005000,active,BACKEND,SENIOR
04a27f46ece416f9ce90c46ecfc962b0,CUSTOMER SUCCESS,MASCULINO,23.0,7.0,3505000,active,DEVSECOPS,ADVANCED
04b4df0e7b0d1c592184e2fb5c69195d,CUSTOMER SUCCESS,FEMENINO,44.0,11.0,9000000,retired,AGILISMO,MASTER
04d8e6b0ebe112e955bc7490423feead,CUSTOMER SUCCESS,MASCULINO,24.0,5.0,4000000,active,FRONTEND,JUNIOR
04fb341c5f0dd549cf44dbc728b6e2c5,CUSTOMER SUCCESS,MASCULINO,28.0,10.0,6500000,active,EXPERIENCIA_USUARIO,SENIOR
0502aa395d33dbce24cdbe9bf0c3b988,CUSTOMER SUCCESS,MASCULINO,49.0,15.0,6000000,active,EXPERIENCIA_USUARIO,SENIOR
052d6d9f4b994547f1287f5297ff1f1c,CUSTOMER SUCCESS,MASCULINO,29.0,4.0,35,active,INTEGRACION,ADVANCED
0581964913481b232c74294ebcbabb71,CUSTOMER SUCCESS,MASCULINO,40.0,3.0,4600000,retired,BUSINESS CONSULTING,JUNIOR
0581964913481b232c74294ebcbabb71,CUSTOMER SUCCESS,MASCULINO,40.0,6.0,9600000,active,BUSINESS CONSULTING,MASTER
059224939f0207350d3b507adf1431c1,CUSTOMER SUCCESS,MASCULINO,24.0,13.0,4700000,active,FRONTEND,ADVANCED
05a685bf6b8e703479edd426ea229ab3,CUSTOMER SUCCESS,FEMENINO,22.0,15.0,3006000,active,FRONTEND,JUNIOR
05cecc40bef5ed86acd6ceb82a30c325,CUSTOMER SUCCESS,MASCULINO,28.0,7.0,3005000,retired,CERTIFICACION,ADVANCED
05d8b8b04a2f3b90b279915e2dc0148e,CUSTOMER SUCCESS,MASCULINO,39.0,8.0,4000000,active,BACKEND,ADVANCED
05ef48fa0e46c81273c1e942d294b025,CUSTOMER SUCCESS,MASCULINO,26.0,59.0,4700000,active,DEVSECOPS,ADVANCED
05f82208d8c5df58f3f80b4472dbaea9,CUSTOMER SUCCESS,MASCULINO,44.0,12.0,5507000,active,FRONTEND,SENIOR
